# method=linear key=2022-03-04 matches=67
ticketNumber,nominalValue,lotteryDate,winAmount
00004756,200,2022-03-04,0
00005824,200,2022-03-04,0
00006184,500,2022-03-04,0
00006247,500,2022-03-04,0
00007270,500,2022-03-04,0
00009820,100,2022-03-04,10000
00012184,100,2022-03-04,0
00014055,50,2022-03-04,0
00015482,50,2022-03-04,0
00017139,50,2022-03-04,0
00019544,500,2022-03-04,0
00021027,100,2022-03-04,0
00024353,50,2022-03-04,0
00025259,200,2022-03-04,2000
00025261,50,2022-03-04,0
00025356,150,2022-03-04,0
00025596,500,2022-03-04,0
00028962,150,2022-03-04,0
00039173,500,2022-03-04,0
00040597,100,2022-03-04,0
00041895,100,2022-03-04,0
00042091,150,2022-03-04,100000
00042611,500,2022-03-04,0
00043286,150,2022-03-04,0
00043528,100,2022-03-04,0
00045029,100,2022-03-04,0
00045798,200,2022-03-04,0
00047186,150,2022-03-04,0
00048154,200,2022-03-04,0
00049818,50,2022-03-04,0
00054314,100,2022-03-04,0
00054582,150,2022-03-04,0
00055542,100,2022-03-04,0
00055846,100,2022-03-04,0
00056113,100,2022-03-04,100
00056335,100,2022-03-04,0
00058893,500,2022-03-04,0
00063341,500,2022-03-04,0
00063615,100,2022-03-04,0
00064517,100,2022-03-04,0
00067424,100,2022-03-04,0
00067992,100,2022-03-04,0
00068153,100,2022-03-04,0
00069773,500,2022-03-04,0
00070609,200,2022-03-04,0
00072414,150,2022-03-04,0
00072674,50,2022-03-04,0
00073229,200,2022-03-04,0
00076114,50,2022-03-04,0
00076621,500,2022-03-04,0
00076712,100,2022-03-04,0
00079688,150,2022-03-04,0
00085235,50,2022-03-04,0
00085438,150,2022-03-04,0
00087340,200,2022-03-04,20000
00089818,100,2022-03-04,10000
00090045,500,2022-03-04,50000
00091103,50,2022-03-04,0
00091778,500,2022-03-04,0
00091869,500,2022-03-04,0
00093118,50,2022-03-04,50
00093687,100,2022-03-04,10000
00094246,150,2022-03-04,0
00096991,50,2022-03-04,0
00097632,150,2022-03-04,0
00098284,200,2022-03-04,0
00099105,50,2022-03-04,0
