size,generator,time_sec
1000,LCG_Xor,0.000001000
1000,MidSquare_Improved,0.000001500
1000,XorShift32_StarPlus,0.000001400
1000,std_mt19937,0.000002000
5000,LCG_Xor,0.000005000
5000,MidSquare_Improved,0.000006800
5000,XorShift32_StarPlus,0.000006700
5000,std_mt19937,0.000008500
10000,LCG_Xor,0.000010000
10000,MidSquare_Improved,0.000015200
10000,XorShift32_StarPlus,0.000013300
10000,std_mt19937,0.000016200
50000,LCG_Xor,0.000047600
50000,MidSquare_Improved,0.000084100
50000,XorShift32_StarPlus,0.000066900
50000,std_mt19937,0.000082500
100000,LCG_Xor,0.000095400
100000,MidSquare_Improved,0.000164900
100000,XorShift32_StarPlus,0.000133200
100000,std_mt19937,0.000165900
500000,LCG_Xor,0.000475500
500000,MidSquare_Improved,0.000844300
500000,XorShift32_StarPlus,0.000668000
500000,std_mt19937,0.000813300
1000000,LCG_Xor,0.000953100
1000000,MidSquare_Improved,0.001723500
1000000,XorShift32_StarPlus,0.001329500
1000000,std_mt19937,0.001594300
