generator,file,n,mean,stdev,cv_%,chi2,df,chi2_crit_5%,uniform_pass_5%
LCG_Xor,sample_00.txt,1000,2516.303,1467.7515,58.3297,18.32,19,30.144,True
LCG_Xor,sample_01.txt,1000,2526.611,1476.0844,58.4215,20.32,19,30.144,True
LCG_Xor,sample_02.txt,1000,2528.577,1411.609,55.8262,28.72,19,30.144,True
LCG_Xor,sample_03.txt,1000,2445.94,1433.6728,58.6144,24.28,19,30.144,True
LCG_Xor,sample_04.txt,1000,2568.283,1443.3934,56.2007,24.24,19,30.144,True
LCG_Xor,sample_05.txt,1000,2472.836,1423.9943,57.5855,23.52,19,30.144,True
LCG_Xor,sample_06.txt,1000,2517.595,1433.2386,56.9289,23.28,19,30.144,True
LCG_Xor,sample_07.txt,1000,2506.68,1461.5932,58.3079,18.12,19,30.144,True
LCG_Xor,sample_08.txt,1000,2555.53,1411.6964,55.2408,27.64,19,30.144,True
LCG_Xor,sample_09.txt,1000,2497.382,1425.0592,57.0621,21.16,19,30.144,True
LCG_Xor,sample_10.txt,1000,2497.002,1448.764,58.0201,9.32,19,30.144,True
LCG_Xor,sample_11.txt,1000,2553.35,1444.945,56.5902,19.8,19,30.144,True
LCG_Xor,sample_12.txt,1000,2481.086,1415.5087,57.052,15.84,19,30.144,True
LCG_Xor,sample_13.txt,1000,2547.677,1440.3805,56.537,25.64,19,30.144,True
LCG_Xor,sample_14.txt,1000,2416.525,1422.7944,58.8777,30.44,19,30.144,False
LCG_Xor,sample_15.txt,1000,2485.138,1414.1842,56.9057,25.72,19,30.144,True
LCG_Xor,sample_16.txt,1000,2462.607,1438.4073,58.4099,33.16,19,30.144,False
LCG_Xor,sample_17.txt,1000,2522.783,1437.2154,56.9694,16.6,19,30.144,True
LCG_Xor,sample_18.txt,1000,2491.018,1477.1668,59.2997,19.56,19,30.144,True
LCG_Xor,sample_19.txt,1000,2393.829,1419.196,59.2856,33.52,19,30.144,False
MidSquare_Improved,sample_00.txt,1000,2459.964,1460.7348,59.3803,14.44,19,30.144,True
MidSquare_Improved,sample_01.txt,1000,2600.831,1452.8996,55.8629,18.96,19,30.144,True
MidSquare_Improved,sample_02.txt,1000,2558.786,1441.3542,56.3296,15.44,19,30.144,True
MidSquare_Improved,sample_03.txt,1000,2517.171,1411.0125,56.0555,22.88,19,30.144,True
MidSquare_Improved,sample_04.txt,1000,2521.062,1444.8118,57.3097,9.4,19,30.144,True
MidSquare_Improved,sample_05.txt,1000,2441.809,1419.8781,58.1486,21.44,19,30.144,True
